你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-12-26）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 513310: 开盘: 2.525, 收盘: 2.532, 最高: 2.546, 最低: 2.521, 成交量: 6773021, 成交额: 1716502802.0, 振幅: 1.0, 涨跌幅: 0.8, 涨跌额: 0.02, 换手率: 40.57, momentum_20: 0.023858, volatility_20: 0.01857, volume_mean_20: 9903312.85, return_mean_20: 0.134, amplitude_mean_20: 2.093, turnover_mean_20: 59.3215, MA_5: 2.499, MA_10: 2.4438, y_pred_Y_next_day_return: 0.000413, y_pred_Y_future_5d_return: 0.011071, y_pred_Y_future_10d_return: 0.041295, y_pred_Y_future_5d_vol_change: 0.468571, y_pred_Y_future_10d_vol_change: 0.367946
ETF代码 510050: 开盘: 3.108, 收盘: 3.12, 最高: 3.134, 最低: 3.106, 成交量: 7161973, 成交额: 2236789637.0, 振幅: 0.9, 涨跌幅: 0.42, 涨跌额: 0.013, 换手率: 3.12, momentum_20: 0.028684, volatility_20: 0.005648, volume_mean_20: 6179089.4, return_mean_20: 0.1435, amplitude_mean_20: 0.982, turnover_mean_20: 2.6925, MA_5: 3.1032, MA_10: 3.0792, y_pred_Y_next_day_return: 0.000356, y_pred_Y_future_5d_return: -0.000554, y_pred_Y_future_10d_return: 0.001531, y_pred_Y_future_5d_vol_change: 0.192135, y_pred_Y_future_10d_vol_change: -0.034125
ETF代码 159518: 开盘: 0.894, 收盘: 0.893, 最高: 0.894, 最低: 0.89, 成交量: 1169072, 成交额: 104249659.6, 振幅: 0.45, 涨跌幅: 0.11, 涨跌额: 0.001, 换手率: 7.89, momentum_20: -0.032503, volatility_20: 0.010718, volume_mean_20: 1587748.35, return_mean_20: -0.16, amplitude_mean_20: 0.8715, turnover_mean_20: 10.7175, MA_5: 0.8934, MA_10: 0.8998, y_pred_Y_next_day_return: -0.000284, y_pred_Y_future_5d_return: -0.000556, y_pred_Y_future_10d_return: 0.003349, y_pred_Y_future_5d_vol_change: 0.455197, y_pred_Y_future_10d_vol_change: 0.621408
ETF代码 159920: 开盘: 1.574, 收盘: 1.581, 最高: 1.582, 最低: 1.573, 成交量: 1184224, 成交额: 186867560.3, 振幅: 0.57, 涨跌幅: 0.44, 涨跌额: 0.007, 换手率: 1.49, momentum_20: -0.004408, volatility_20: 0.008858, volume_mean_20: 2841888.4, return_mean_20: -0.0185, amplitude_mean_20: 1.006, turnover_mean_20: 3.566, MA_5: 1.5744, MA_10: 1.5663, y_pred_Y_next_day_return: -0.00016, y_pred_Y_future_5d_return: -0.000573, y_pred_Y_future_10d_return: 0.009991, y_pred_Y_future_5d_vol_change: 0.32563, y_pred_Y_future_10d_vol_change: 0.253874
ETF代码 159399: 开盘: 1.134, 收盘: 1.142, 最高: 1.144, 最低: 1.134, 成交量: 1806351, 成交额: 206973717.1, 振幅: 0.88, 涨跌幅: 0.62, 涨跌额: 0.007, 换手率: 4.31, momentum_20: 0.009726, volatility_20: 0.006961, volume_mean_20: 1894570.2, return_mean_20: 0.051, amplitude_mean_20: 1.0085, turnover_mean_20: 4.52, MA_5: 1.1376, MA_10: 1.1371, y_pred_Y_next_day_return: -0.0001, y_pred_Y_future_5d_return: -0.000612, y_pred_Y_future_10d_return: 0.004326, y_pred_Y_future_5d_vol_change: 0.48313, y_pred_Y_future_10d_vol_change: 0.218645
ETF代码 159201: 开盘: 1.199, 收盘: 1.209, 最高: 1.212, 最低: 1.198, 成交量: 3507564, 成交额: 423380511.8, 振幅: 1.17, 涨跌幅: 0.75, 涨跌额: 0.009, 换手率: 3.04, momentum_20: 0.036878, volatility_20: 0.0085, volume_mean_20: 3228122.2, return_mean_20: 0.186, amplitude_mean_20: 1.107, turnover_mean_20: 2.7985, MA_5: 1.2008, MA_10: 1.1926, y_pred_Y_next_day_return: 0.000155, y_pred_Y_future_5d_return: -0.000704, y_pred_Y_future_10d_return: 0.00063, y_pred_Y_future_5d_vol_change: 0.250237, y_pred_Y_future_10d_vol_change: 0.288295
ETF代码 159628: 开盘: 1.353, 收盘: 1.349, 最高: 1.356, 最低: 1.336, 成交量: 652720, 成交额: 87990383.8, 振幅: 1.48, 涨跌幅: -0.22, 涨跌额: -0.003, 换手率: 11.78, momentum_20: 0.044926, volatility_20: 0.010411, volume_mean_20: 379202.4, return_mean_20: 0.226, amplitude_mean_20: 1.5055, turnover_mean_20: 6.8425, MA_5: 1.3346, MA_10: 1.3154, y_pred_Y_next_day_return: 0.000142, y_pred_Y_future_5d_return: -0.000861, y_pred_Y_future_10d_return: 0.000397, y_pred_Y_future_5d_vol_change: 0.228202, y_pred_Y_future_10d_vol_change: 0.084473
ETF代码 513970: 开盘: 0.947, 收盘: 0.951, 最高: 0.952, 最低: 0.946, 成交量: 502681, 成交额: 47730753.0, 振幅: 0.63, 涨跌幅: 0.42, 涨跌额: 0.004, 换手率: 1.53, momentum_20: -0.020597, volatility_20: 0.00835, volume_mean_20: 1308055.95, return_mean_20: -0.101, amplitude_mean_20: 1.1055, turnover_mean_20: 3.9775, MA_5: 0.9488, MA_10: 0.9448, y_pred_Y_next_day_return: -0.000363, y_pred_Y_future_5d_return: -0.001087, y_pred_Y_future_10d_return: -0.000781, y_pred_Y_future_5d_vol_change: 0.278766, y_pred_Y_future_10d_vol_change: 0.193284
ETF代码 512750: 开盘: 1.505, 收盘: 1.503, 最高: 1.506, 最低: 1.499, 成交量: 16791, 成交额: 2523933.0, 振幅: 0.47, 涨跌幅: -0.07, 涨跌额: -0.001, 换手率: 3.29, momentum_20: 0.008725, volatility_20: 0.004007, volume_mean_20: 21953.25, return_mean_20: 0.0435, amplitude_mean_20: 0.9265, turnover_mean_20: 4.299, MA_5: 1.4998, MA_10: 1.4955, y_pred_Y_next_day_return: -0.000117, y_pred_Y_future_5d_return: -0.001193, y_pred_Y_future_10d_return: 0.00541, y_pred_Y_future_5d_vol_change: 0.738513, y_pred_Y_future_10d_vol_change: 1.196022
ETF代码 512100: 开盘: 3.028, 收盘: 3.041, 最高: 3.062, 最低: 3.022, 成交量: 7637317, 成交额: 2358590830.0, 振幅: 1.32, 涨跌幅: 0.36, 涨跌额: 0.011, 换手率: 9.28, momentum_20: 0.039303, volatility_20: 0.009307, volume_mean_20: 3580992.35, return_mean_20: 0.1975, amplitude_mean_20: 1.405, turnover_mean_20: 4.3515, MA_5: 2.9984, MA_10: 2.9548, y_pred_Y_next_day_return: -1.6e-05, y_pred_Y_future_5d_return: -0.001208, y_pred_Y_future_10d_return: -0.005689, y_pred_Y_future_5d_vol_change: 0.369909, y_pred_Y_future_10d_vol_change: 0.133718
ETF代码 159883: 开盘: 0.503, 收盘: 0.5, 最高: 0.503, 最低: 0.497, 成交量: 1416255, 成交额: 70776858.381, 振幅: 1.19, 涨跌幅: -0.6, 涨跌额: -0.003, 换手率: 1.12, momentum_20: -0.015748, volatility_20: 0.007754, volume_mean_20: 1575197.95, return_mean_20: -0.0765, amplitude_mean_20: 1.2535, turnover_mean_20: 1.2415, MA_5: 0.4984, MA_10: 0.4967, y_pred_Y_next_day_return: -0.000795, y_pred_Y_future_5d_return: -0.001252, y_pred_Y_future_10d_return: -0.0029, y_pred_Y_future_5d_vol_change: 0.584181, y_pred_Y_future_10d_vol_change: 0.397094
ETF代码 515800: 开盘: 1.246, 收盘: 1.257, 最高: 1.261, 最低: 1.246, 成交量: 1182792, 成交额: 148565984.0, 振幅: 1.2, 涨跌幅: 0.4, 涨跌额: 0.005, 换手率: 2.67, momentum_20: 0.039702, volatility_20: 0.006718, volume_mean_20: 1050291.6, return_mean_20: 0.1965, amplitude_mean_20: 1.1765, turnover_mean_20: 2.3715, MA_5: 1.247, MA_10: 1.234, y_pred_Y_next_day_return: 0.000119, y_pred_Y_future_5d_return: -0.001307, y_pred_Y_future_10d_return: -0.003056, y_pred_Y_future_5d_vol_change: 0.604232, y_pred_Y_future_10d_vol_change: 0.821509
ETF代码 159966: 开盘: 0.578, 收盘: 0.58, 最高: 0.584, 最低: 0.577, 成交量: 83373, 成交额: 4840543.956, 振幅: 1.21, 涨跌幅: 0.52, 涨跌额: 0.003, 换手率: 1.27, momentum_20: 0.033868, volatility_20: 0.010256, volume_mean_20: 71702.35, return_mean_20: 0.1725, amplitude_mean_20: 1.55, turnover_mean_20: 1.094, MA_5: 0.5742, MA_10: 0.5696, y_pred_Y_next_day_return: -5.9e-05, y_pred_Y_future_5d_return: -0.001386, y_pred_Y_future_10d_return: -0.002733, y_pred_Y_future_5d_vol_change: 0.225825, y_pred_Y_future_10d_vol_change: 0.113361
ETF代码 560610: 开盘: 1.167, 收盘: 1.172, 最高: 1.176, 最低: 1.164, 成交量: 2252338, 成交额: 264873117.0, 振幅: 1.03, 涨跌幅: 0.51, 涨跌额: 0.006, 换手率: 5.0, momentum_20: 0.044563, volatility_20: 0.00772, volume_mean_20: 2198998.1, return_mean_20: 0.221, amplitude_mean_20: 1.2, turnover_mean_20: 4.8775, MA_5: 1.1624, MA_10: 1.1484, y_pred_Y_next_day_return: 8e-05, y_pred_Y_future_5d_return: -0.00139, y_pred_Y_future_10d_return: -0.002004, y_pred_Y_future_5d_vol_change: 0.313149, y_pred_Y_future_10d_vol_change: 0.567646
ETF代码 510300: 开盘: 4.643, 收盘: 4.661, 最高: 4.678, 最低: 4.632, 成交量: 8160801, 成交额: 3902900785.0, 振幅: 0.99, 涨跌幅: 0.39, 涨跌额: 0.018, 换手率: 1.82, momentum_20: 0.033023, volatility_20: 0.007323, volume_mean_20: 6779852.4, return_mean_20: 0.1655, amplitude_mean_20: 1.1965, turnover_mean_20: 1.515, MA_5: 4.6324, MA_10: 4.5889, y_pred_Y_next_day_return: 9.4e-05, y_pred_Y_future_5d_return: -0.001398, y_pred_Y_future_10d_return: -0.007019, y_pred_Y_future_5d_vol_change: 0.570413, y_pred_Y_future_10d_vol_change: 0.295147
ETF代码 562310: 开盘: 1.019, 收盘: 1.02, 最高: 1.026, 最低: 1.014, 成交量: 347883, 成交额: 35477003.0, 振幅: 1.18, 涨跌幅: 0.39, 涨跌额: 0.004, 换手率: 4.9, momentum_20: 0.042945, volatility_20: 0.009292, volume_mean_20: 184405.85, return_mean_20: 0.214, amplitude_mean_20: 1.349, turnover_mean_20: 2.5955, MA_5: 1.0144, MA_10: 1.0041, y_pred_Y_next_day_return: 3.9e-05, y_pred_Y_future_5d_return: -0.001456, y_pred_Y_future_10d_return: -0.000866, y_pred_Y_future_5d_vol_change: 0.211009, y_pred_Y_future_10d_vol_change: 0.206317
ETF代码 159928: 开盘: 0.803, 收盘: 0.8, 最高: 0.804, 最低: 0.797, 成交量: 3788830, 成交额: 303334165.4, 振幅: 0.87, 涨跌幅: -0.5, 涨跌额: -0.004, 换手率: 1.35, momentum_20: -0.034982, volatility_20: 0.006741, volume_mean_20: 5289345.95, return_mean_20: -0.176, amplitude_mean_20: 1.0305, turnover_mean_20: 1.886, MA_5: 0.8028, MA_10: 0.8031, y_pred_Y_next_day_return: -0.000666, y_pred_Y_future_5d_return: -0.001491, y_pred_Y_future_10d_return: 0.00554, y_pred_Y_future_5d_vol_change: 0.582968, y_pred_Y_future_10d_vol_change: 0.2899

请严格遵守任务定义、约束条件和输出格式，输出排序JSON对象。
