你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-11-28）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 520500: 开盘: 1.786, 收盘: 1.773, 最高: 1.8, 最低: 1.768, 成交量: 2892234, 成交额: 513968331.0, 振幅: 1.79, 涨跌幅: -0.73, 涨跌额: -0.013, 换手率: 21.25, momentum_20: 0.003396, volatility_20: 0.02013, volume_mean_20: 5154019.55, return_mean_20: 0.0365, amplitude_mean_20: 2.814, turnover_mean_20: 37.8745, MA_5: 1.7634, MA_10: 1.7542, y_pred_Y_next_day_return: 0.000546, y_pred_Y_future_5d_return: 0.021238, y_pred_Y_future_10d_return: 0.066965, y_pred_Y_future_5d_vol_change: 0.234236, y_pred_Y_future_10d_vol_change: 0.111193
ETF代码 510500: 开盘: 6.986, 收盘: 7.073, 最高: 7.082, 最低: 6.98, 成交量: 1773332, 成交额: 1261276658.0, 振幅: 1.46, 涨跌幅: 1.22, 涨跌额: 0.085, 换手率: 1.8, momentum_20: -0.040819, volatility_20: 0.012258, volume_mean_20: 2656024.85, return_mean_20: -0.202, amplitude_mean_20: 1.675, turnover_mean_20: 2.6995, MA_5: 6.9928, MA_10: 7.0571, y_pred_Y_next_day_return: -0.000668, y_pred_Y_future_5d_return: -0.001357, y_pred_Y_future_10d_return: 0.000377, y_pred_Y_future_5d_vol_change: 0.073418, y_pred_Y_future_10d_vol_change: 0.095251
ETF代码 517520: 开盘: 1.92, 收盘: 1.931, 最高: 1.95, 最低: 1.912, 成交量: 1463860, 成交额: 282522250.0, 振幅: 2.0, 涨跌幅: 1.42, 涨跌额: 0.027, 换手率: 2.34, momentum_20: -0.010251, volatility_20: 0.022197, volume_mean_20: 2114487.1, return_mean_20: -0.0275, amplitude_mean_20: 2.402, turnover_mean_20: 3.3855, MA_5: 1.901, MA_10: 1.9019, y_pred_Y_next_day_return: 0.000575, y_pred_Y_future_5d_return: -0.00143, y_pred_Y_future_10d_return: -0.006521, y_pred_Y_future_5d_vol_change: -0.041052, y_pred_Y_future_10d_vol_change: -0.117815
ETF代码 563000: 开盘: 1.034, 收盘: 1.037, 最高: 1.04, 最低: 1.029, 成交量: 234790, 成交额: 24332976.0, 振幅: 1.06, 涨跌幅: 0.19, 涨跌额: 0.002, 换手率: 1.08, momentum_20: -0.02262, volatility_20: 0.010261, volume_mean_20: 375312.3, return_mean_20: -0.1095, amplitude_mean_20: 1.506, turnover_mean_20: 1.726, MA_5: 1.028, MA_10: 1.0338, y_pred_Y_next_day_return: -0.000495, y_pred_Y_future_5d_return: -0.00144, y_pred_Y_future_10d_return: -0.000814, y_pred_Y_future_5d_vol_change: 0.368111, y_pred_Y_future_10d_vol_change: 0.150472
ETF代码 159837: 开盘: 0.514, 收盘: 0.515, 最高: 0.516, 最低: 0.51, 成交量: 248917, 成交额: 12783750.9, 振幅: 1.17, 涨跌幅: 0.19, 涨跌额: 0.001, 换手率: 0.87, momentum_20: -0.053309, volatility_20: 0.010392, volume_mean_20: 478539.25, return_mean_20: -0.269, amplitude_mean_20: 1.682, turnover_mean_20: 1.672, MA_5: 0.5136, MA_10: 0.5159, y_pred_Y_next_day_return: -0.000539, y_pred_Y_future_5d_return: -0.001623, y_pred_Y_future_10d_return: 0.005542, y_pred_Y_future_5d_vol_change: 0.505507, y_pred_Y_future_10d_vol_change: 0.39611
ETF代码 510300: 开盘: 4.498, 收盘: 4.512, 最高: 4.519, 最低: 4.48, 成交量: 5192341, 成交额: 2403092677.0, 振幅: 0.87, 涨跌幅: 0.29, 涨跌额: 0.013, 换手率: 1.16, momentum_20: -0.026117, volatility_20: 0.008994, volume_mean_20: 7639285.2, return_mean_20: -0.128, amplitude_mean_20: 1.242, turnover_mean_20: 1.7055, MA_5: 4.4844, MA_10: 4.5137, y_pred_Y_next_day_return: -0.000471, y_pred_Y_future_5d_return: -0.00164, y_pred_Y_future_10d_return: -0.003785, y_pred_Y_future_5d_vol_change: 0.232228, y_pred_Y_future_10d_vol_change: 0.039925
ETF代码 159201: 开盘: 1.16, 收盘: 1.166, 最高: 1.168, 最低: 1.154, 成交量: 4112632, 成交额: 478621189.548, 振幅: 1.21, 涨跌幅: 0.6, 涨跌额: 0.007, 换手率: 3.57, momentum_20: -0.00766, volatility_20: 0.011103, volume_mean_20: 3868876.5, return_mean_20: -0.0335, amplitude_mean_20: 1.3865, turnover_mean_20: 3.3555, MA_5: 1.1594, MA_10: 1.1714, y_pred_Y_next_day_return: -0.000472, y_pred_Y_future_5d_return: -0.001656, y_pred_Y_future_10d_return: -0.001278, y_pred_Y_future_5d_vol_change: 0.219584, y_pred_Y_future_10d_vol_change: 0.153661
ETF代码 562500: 开盘: 0.939, 收盘: 0.949, 最高: 0.949, 最低: 0.934, 成交量: 8235655, 成交额: 777036940.0, 振幅: 1.59, 涨跌幅: 0.64, 涨跌额: 0.006, 换手率: 3.46, momentum_20: -0.077745, volatility_20: 0.010504, volume_mean_20: 10584566.4, return_mean_20: -0.398, amplitude_mean_20: 1.737, turnover_mean_20: 4.45, MA_5: 0.944, MA_10: 0.948, y_pred_Y_next_day_return: -0.000382, y_pred_Y_future_5d_return: -0.001658, y_pred_Y_future_10d_return: -0.002408, y_pred_Y_future_5d_vol_change: 0.391282, y_pred_Y_future_10d_vol_change: 0.290864
ETF代码 512290: 开盘: 1.035, 收盘: 1.04, 最高: 1.041, 最低: 1.03, 成交量: 442833, 成交额: 45897929.0, 振幅: 1.06, 涨跌幅: 0.39, 涨跌额: 0.004, 换手率: 1.16, momentum_20: -0.052823, volatility_20: 0.010404, volume_mean_20: 665734.55, return_mean_20: -0.2655, amplitude_mean_20: 1.6055, turnover_mean_20: 1.7385, MA_5: 1.0382, MA_10: 1.043, y_pred_Y_next_day_return: -0.000328, y_pred_Y_future_5d_return: -0.001662, y_pred_Y_future_10d_return: -0.001882, y_pred_Y_future_5d_vol_change: 0.324984, y_pred_Y_future_10d_vol_change: 0.160487
ETF代码 159399: 开盘: 1.128, 收盘: 1.131, 最高: 1.131, 最低: 1.122, 成交量: 1446222, 成交额: 164471787.932, 振幅: 0.8, 涨跌幅: 0.35, 涨跌额: 0.004, 换手率: 3.45, momentum_20: -0.004401, volatility_20: 0.009037, volume_mean_20: 2029646.85, return_mean_20: -0.018, amplitude_mean_20: 1.2045, turnover_mean_20: 4.843, MA_5: 1.1262, MA_10: 1.1342, y_pred_Y_next_day_return: -0.000527, y_pred_Y_future_5d_return: -0.00176, y_pred_Y_future_10d_return: -0.001975, y_pred_Y_future_5d_vol_change: 0.307229, y_pred_Y_future_10d_vol_change: 0.196075
ETF代码 515860: 开盘: 1.567, 收盘: 1.586, 最高: 1.586, 最低: 1.566, 成交量: 8065, 成交额: 1272248.0, 振幅: 1.27, 涨跌幅: 0.51, 涨跌额: 0.008, 换手率: 0.73, momentum_20: -0.062093, volatility_20: 0.014465, volume_mean_20: 22546.75, return_mean_20: -0.3095, amplitude_mean_20: 2.392, turnover_mean_20: 2.0335, MA_5: 1.5662, MA_10: 1.5575, y_pred_Y_next_day_return: -0.000187, y_pred_Y_future_5d_return: -0.00176, y_pred_Y_future_10d_return: 0.002957, y_pred_Y_future_5d_vol_change: 0.432359, y_pred_Y_future_10d_vol_change: 0.18342
ETF代码 515750: 开盘: 1.734, 收盘: 1.747, 最高: 1.75, 最低: 1.726, 成交量: 90464, 成交额: 15752193.0, 振幅: 1.38, 涨跌幅: 0.69, 涨跌额: 0.012, 换手率: 2.38, momentum_20: -0.07321, volatility_20: 0.014004, volume_mean_20: 120171.25, return_mean_20: -0.3705, amplitude_mean_20: 2.1745, turnover_mean_20: 3.1605, MA_5: 1.7288, MA_10: 1.7342, y_pred_Y_next_day_return: -0.000387, y_pred_Y_future_5d_return: -0.001827, y_pred_Y_future_10d_return: -0.003633, y_pred_Y_future_5d_vol_change: 0.205217, y_pred_Y_future_10d_vol_change: 0.240685
ETF代码 159938: 开盘: 0.674, 收盘: 0.675, 最高: 0.675, 最低: 0.67, 成交量: 270679, 成交额: 18206060.8, 振幅: 0.74, 涨跌幅: 0.15, 涨跌额: 0.001, 换手率: 0.34, momentum_20: -0.043909, volatility_20: 0.009051, volume_mean_20: 594036.4, return_mean_20: -0.22, amplitude_mean_20: 1.4205, turnover_mean_20: 0.744, MA_5: 0.6736, MA_10: 0.6771, y_pred_Y_next_day_return: -0.000554, y_pred_Y_future_5d_return: -0.00186, y_pred_Y_future_10d_return: -0.004809, y_pred_Y_future_5d_vol_change: 0.379901, y_pred_Y_future_10d_vol_change: 0.303665
ETF代码 588000: 开盘: 1.374, 收盘: 1.393, 最高: 1.396, 最低: 1.368, 成交量: 20923997, 成交额: 2898802447.0, 振幅: 2.03, 涨跌幅: 1.02, 涨跌额: 0.014, 换手率: 4.28, momentum_20: -0.063844, volatility_20: 0.014769, volume_mean_20: 26333527.7, return_mean_20: -0.319, amplitude_mean_20: 2.417, turnover_mean_20: 5.3905, MA_5: 1.3766, MA_10: 1.3892, y_pred_Y_next_day_return: -0.000719, y_pred_Y_future_5d_return: -0.001923, y_pred_Y_future_10d_return: 0.002297, y_pred_Y_future_5d_vol_change: 0.249235, y_pred_Y_future_10d_vol_change: 0.232965
ETF代码 513630: 开盘: 1.648, 收盘: 1.639, 最高: 1.649, 最低: 1.635, 成交量: 2429370, 成交额: 399708122.0, 振幅: 0.85, 涨跌幅: -0.49, 涨跌额: -0.008, 换手率: 2.54, momentum_20: 0.021184, volatility_20: 0.009326, volume_mean_20: 3500850.75, return_mean_20: 0.1105, amplitude_mean_20: 1.2, turnover_mean_20: 3.6575, MA_5: 1.6506, MA_10: 1.6573, y_pred_Y_next_day_return: -0.000162, y_pred_Y_future_5d_return: -0.001971, y_pred_Y_future_10d_return: -0.00283, y_pred_Y_future_5d_vol_change: 0.338739, y_pred_Y_future_10d_vol_change: 0.260656
ETF代码 516670: 开盘: 0.702, 收盘: 0.708, 最高: 0.708, 最低: 0.699, 成交量: 227398, 成交额: 16008311.0, 振幅: 1.28, 涨跌幅: 0.57, 涨跌额: 0.004, 换手率: 1.29, momentum_20: -0.00979, volatility_20: 0.008074, volume_mean_20: 389515.15, return_mean_20: -0.046, amplitude_mean_20: 1.4255, turnover_mean_20: 2.216, MA_5: 0.7046, MA_10: 0.7108, y_pred_Y_next_day_return: -0.00049, y_pred_Y_future_5d_return: -0.001982, y_pred_Y_future_10d_return: -0.002274, y_pred_Y_future_5d_vol_change: 0.508051, y_pred_Y_future_10d_vol_change: 0.354241
ETF代码 512750: 开盘: 1.492, 收盘: 1.49, 最高: 1.492, 最低: 1.484, 成交量: 11753, 成交额: 1749124.0, 振幅: 0.54, 涨跌幅: -0.27, 涨跌额: -0.004, 换手率: 2.3, momentum_20: -0.004011, volatility_20: 0.006087, volume_mean_20: 22166.95, return_mean_20: -0.0185, amplitude_mean_20: 0.955, turnover_mean_20: 4.342, MA_5: 1.4942, MA_10: 1.5043, y_pred_Y_next_day_return: -0.000259, y_pred_Y_future_5d_return: -0.001986, y_pred_Y_future_10d_return: 0.000951, y_pred_Y_future_5d_vol_change: 0.478303, y_pred_Y_future_10d_vol_change: 0.083051

请严格遵守任务定义、约束条件和输出格式，输出排序JSON对象。
